aluno,nota1,nota2,nota3
Wkyuwplpamsbiarazeqbhmcwuhnc,4.3,8.7,4.8
Evabkuuwbbifbfgai,7.1,9.2,2.2
Kiycsdiwgvcxtmwmvajsoodmsfcuwpudyntc,7.9,9.3,6.5
Jrzhyztitjoxqrxc,7.6,7.4,8.1
Ggyxixslkviu,0.8,0.4,5.7
Xnwqeswyoopnydjfqajpdholhqylchxhmtckdnigk,5.5,7.1,2.6
Gcxrhqnxrcvirptarfibpgujayuenopyjbmvjss,6.7,1.4,2.7
Alvtwfqicaghtfxhtzrcgizlqeipnyzwdzvgum,7.1,6.0,3.9
Cbhckjempwjopzdcejrauslbhkqwcogiruzyiskmfdptg,8.0,7.8,6.8
Ksazwgosdlqaxmkg,7.6,3.6,8.8
Rbdalgyalgcwhsoqohqozv,9.9,7.2,9.1
Quhjtmhbeynxlqmgvmnkdklf,4.4,9.5,3.3
Fhfhrcixryigsmoedvmmhoqgrvqeaoperwiwfoqzbrqr,7.3,4.0,9.1
Xkfgzenckwlhwnlxhjqp,7.2,2.4,1.6
Waadtcibtxpy,1.0,7.7,6.3
Qjialfzgmlxcqdyrhtvmfatyucgtybocsdhgesvgeufxndxjja,9.7,8.3,4.2
Bdabeqdvacppkbgebmyrbf,5.1,3.2,1.3
Uxxxtuju,2.5,2.5,9.6
Whrlplefylytvqexnqerxkocdbexrhwrpprgjvyrvcrsqea,1.2,0.9,1.6
Cndphntxnomacteavizetidamqyzfo,2.2,5.5,9.9
Qndyp,8.0,6.2,0.5
Lxrctlcc,7.6,9.9,7.2
Kxbk,8.7,8.1,8.8
Risdldafaqvkwxqhhg,2.7,5.9,7.3
Uzfskatsvhfvovr,2.3,4.0,0.5
Fzojta,3.2,5.9,9.3
Edlrhdgjyywurzuehkxadwenwcnrtewsrbgablxyu,8.8,6.7,8.9
Kjhsdhrfbif,7.1,3.5,1.0
Tfqujoelxg,1.6,8.5,3.1
Tvopuby,6.4,3.4,8.4
Dnlba,4.7,2.2,0.2
Nzvmstqmfxzlkdwzakcmotuairgjnoz,1.1,1.5,8.1
Kpegzgxxgwnvnmwvvnyatzrsiuqniyemaenmku,0.6,5.9,2.7
Cpoei,3.0,6.4,9.8
Ubrpytunimemxnlxtvoixjyuqqubszufs,1.1,8.7,0.0
Xyggfnzllomfrbnjphcibowyoqtthunmxedrwse,2.8,8.8,3.7
Xprbndnowkmbprragfkzthogytmgezzrgxtry,6.9,8.8,3.7
Ticldzyvzeycsazovdhprsekffblajagyslisptlcs,3.2,7.3,8.7
Hebqhxtbkvaovxyfdripctravlhh,6.6,0.2,8.4
Udsnqjtxrbs,2.5,8.1,0.7
Hsiidkbwwyrytwyjpoeplsnbafbwadgejoajeob,6.2,5.7,0.5
Jlshndctsehags,7.7,10.0,4.9
Hccbqtfnfceiubdotgupkzerpjbjrglnr,6.5,1.2,6.3
Iksdh,1.6,4.9,3.0
Rtzksvmumryirzyilvrzbqjhgvrdlcjw,9.1,5.9,4.1
Xlfxnhpiionff,1.0,1.3,6.1
Gzfyroo,7.4,5.8,1.1
Mnqnswrhaxabfyyefry,8.4,5.5,0.9
Hgsazapbnidkinowppbfddwqiczefbnkimzzrcjajgmkdgo,8.5,3.5,1.4
Ezodaqllbtraxhzscolixjnfyfj,8.2,9.3,3.9
Kcanyjoqjnskgiliwdyetkuzibibsgkadcvydvdxzrbfnb,4.3,8.4,2.7
Eczygcvsjegwbmcphbtfky,1.9,6.2,9.5
Jcugotevatjhmrneohjpssdwgvoyfyrilwslljx,6.9,1.1,4.3
Fqqbxdsmhiwgusnwocst,7.2,9.3,9.5
Lodsiphkdmyvpjeehljyooxdfne,6.7,6.3,7.2
Autigydfkxzm,4.4,5.1,1.2
Qtiaqxopz,3.5,2.4,8.7
Jqsjjdsgvlomfyavkxbqyssnepyrkwi,7.7,8.1,4.1
Eypsavujzuezlfyhodftcybxqurokpzfofejoiw,2.7,9.7,6.6
Qpkyflrnyscfbgkkmtkpdthbmjreobkheoypkpgijnkguni,6.2,0.6,7.0
Zbgjsqdekntlacmqbnvetlgimjvoaohzs,9.1,1.7,3.0
Jcgpsrelmrkeqhip,6.2,7.5,0.2
Pwzakvzbxik,3.5,3.9,9.6
Qcagcxsbcvmwlfutybtdskzhpehdwppbtptkk,2.1,0.2,2.6
Mbhmeaugyznikkwajwqvkgcmnyyofbjfeqaqrm,9.6,3.7,9.4
Yasksvyectyts,3.7,9.7,6.0
Tszwjnctslobggzkitzptuxekreupjjibxbhjlnwjnslvbik,3.7,4.0,5.7
Jemevajbjhpypadqqjxuvsg,7.1,6.5,2.4
Phiubfvfbpercxmhgnzzlehixykpobhieffgjmhjbwt,7.8,4.4,8.9
Kxzppuvo,5.6,6.5,9.1
Uzuulnjznsohiroxlnoqmzhkfhbhqwyliqnrwsnblvyn,9.7,2.2,7.3
Kezskjonkqmqg,4.5,0.9,2.1
Bajdjiehlq,8.8,6.6,5.6
Lcdwxfgyjdfuqhhwhzrylnycsfzdsci,2.7,4.3,2.4
Txlqtzkkfjcygdwjipsihlfxkxgbsvoocvhrsind,4.2,3.3,3.9
Byvpmnfqhpcnuqqb,6.7,7.3,2.4
Cihdxpql,2.1,1.8,1.5
Mgxevohyozvarbzqczcazhreqxr,7.8,1.3,3.4
Esncledqvkxgfkrerpxijtfhwtvwbdfoddmxcvlusjiembr,1.3,3.4,6.6
Gsijiaruhngxngjuafwphjaafwylq,6.7,5.5,8.1
Vjmqitgotffnozmzhyczvrceeyzocwneamvyvds,1.1,7.0,9.4
Zinzidfyerobeysckvgyrngvegmereyorobjfo,0.4,9.0,7.3
Wuqofnknkoopmvzhuipwcskirvhpyklofavanxqzh,8.6,8.3,1.4
Sgryhqdimesvgvgqjbao,3.4,6.1,8.5
Vsqroymfhjbmcsuxdipyxjgdvmwdbqtmxvkeatyktldmrdcj,1.9,5.7,7.8
Deibrkeurawxqoegbentimdwpbusgaxcphgriznarpyq,6.1,0.6,5.2
Cmrvxicwjyiiqxkbqwvstaqoplsmepcxulkjzzveozlcbf,3.2,7.7,5.5
Ynhxopmjnlbipzwmpmpsvkvivtzkzzpkeuzbvmflb,2.6,6.9,6.2
Jekhzuilseqfgsfeqwkf,4.5,0.6,7.4
Ntorolueetfcqflddftepkpzsabyyxpn,6.4,4.6,0.8
Aaecapodahdqxxgnfnaiqkxhvojqjlkejwazhgpcpxpyoxkafi,6.4,2.9,4.9
Ahzwsbwbhpakwmqvjohxprshoibhepksdrq,5.3,7.4,5.0
Ktxxwbxtnghpzixgiuotyuiozrumidzbsxwolg,9.6,8.9,3.9
Ojniuyimbewwaawnnkmfkwrrli,5.9,5.3,7.2
Owepabckw,0.3,1.6,6.1
Qryoavsgfnphsqtvayqmnlhsszjce,6.1,8.7,3.4
Pcrse,9.3,4.1,3.5
Ionkdffgepwpygphfepe,2.0,4.4,1.1
Tkqakbmrnjmybshwqigzfkmmul,1.2,0.3,6.6
Yqmjdxkfrtlagzhvtqbxqpqanj,3.5,7.5,0.4
Qtiroiekytnrmceykaftzykjjjskk,7.0,6.2,3.0
Cyhsbcifutdxcjoaqqtznfqucigjeq,6.2,2.3,1.8
Jsgyj,7.1,7.4,0.1
Dvqaoxutwzklxzycfpdtilc,5.0,0.9,9.5
Qqkfvihx,2.5,9.5,7.4
Hpsvohaxnnmcdbrjrccdgpowcpbgbildy,0.0,2.5,5.9
Vzmnorlsapshrrbs,0.3,5.5,7.5
Qogylxgknctrecyshdujbwavmyaiboxsbonlhaclafenetvv,3.1,9.3,8.7
Jmpudzbexgojnkbymypjqyevfi,5.5,0.5,2.9
Uguhanpnugsdmznzcz,4.9,5.6,8.6
Cyrxmujs,2.8,4.9,6.0
Ikpmpmsr,9.7,3.8,3.8
Ullebxprhfwaohatnrbhvdglwmm,6.5,1.8,9.3
Zhpapfxiscovt,5.7,8.1,10.0
Tnqmjfefwtfvbtqtggwysqjaafa,9.0,9.4,9.3
Qaqqqxmvhprfgt,3.5,2.1,8.8
Nogrhmgjj,8.1,9.1,3.1
Cpdmazbohfpiv,3.1,6.6,2.7
Kxaglyczmbxielwfvnwupsbnozfipllbnvjsymux,7.5,5.5,9.7
Tdrkvzgyszzzufxdwxqheogwggenklvcpwtohdlnano,3.5,7.2,8.7
Nxphwzhuobejgwwxxejqifcqofroxdfdzzktksa,4.7,5.3,4.8
Ixtqvwbpolnqzdtjgyoxuhn,1.4,0.5,8.4
Atjydaiuyqfkphhbnvkdtfgqmbapafpacuyciuk,2.4,5.4,7.6
Xsmvujsvogxeymhxlkz,3.6,1.3,0.2
Gzvgqhakwysyxde,0.0,4.5,6.3
Zcpwa,5.0,1.8,5.1
Orzyrbibazpeczgarbbbtzzzmvcfaulenhblhtcwugq,7.6,3.7,0.3
Ijdsoxcalbvpmjawkcojfvjhxmkzwewlkzvrptvxzxscsiujdvl,5.8,0.9,9.1
Zuwcyjsujsf,0.0,5.8,0.2
Erxypwiqymmxjv,3.5,2.5,9.7
Dikyzpsxzmdtvtzpclncjdfgitcllktumgkfyedpwofsldmc,3.8,1.3,9.9
Yodioznomgl,9.0,2.8,6.8
Jbngscgmueqgfoarpwlrmlzpolxymywxhizjq,2.6,4.1,7.9
Absdsyplpxdyqvbrtqzbdyaznzqkvkpdip,3.8,2.3,2.9
Xysaqazgbrqfbbxbhtnxcb,7.6,0.3,10.0
Ohdrnbkhehixblivomrmghkriidamdcqrwdehhmud,5.8,8.2,6.2
Prchloszwrnldtyyjhqhhgyezxdductcdlyyedvtby,7.4,6.4,0.6
Wucn,1.7,3.9,2.1
Lskyedclaeygd,7.5,9.5,6.5
Kvejvxuuxvgfveixctc,1.5,6.9,1.3
Lyzxazvgxdeojuqhdrikdfqdvtdrwtnxrmjjkuzivnxvtwwxmi,4.2,8.2,5.9
Mhzanzzkvdqldfrsctckxypzzewbbpbciqohy,9.5,2.8,4.8
Xhvgvcgsfybpwcnehmuogixrcpuxu,8.7,1.3,5.1
Rbvwsxgpcpkcshzyuwltixvxgqgwyb,7.9,4.4,2.4
Uhvmiyyxfjomtrpiounbf,9.1,1.6,1.6
Lhpnre,9.5,2.6,6.4
Rzpcyxbyzkqoc,0.1,2.7,8.1
Subrcxoxvlfprgjxumclumonkpk,3.3,4.5,4.5
Kajlwovhp,8.1,7.2,3.1
Giurinaxfzskgkjdaljtctwzwjtexkjawuvi,3.7,4.4,8.1
Nnzhwlxkxojryqgujtlpraamufvlexbapwlpbcceshttodvw,9.2,6.8,3.2
Udgfajedpcrfdvofmjxapljejmtkepeqcuaijljeorsznfcnbk,7.0,6.2,5.2
Oxxpo,5.1,3.5,4.1
Ponxnmaevdsdsfldufjcioxicnuxqoiptxcjereekbqtwqollan,4.0,2.5,9.0
Wfztvewatwhdnfhavuuvtgrrxnksytrdrfwfsvrvh,5.7,9.9,6.7
Dznlzodujxeekinevhmocisnvb,5.2,1.2,8.3
Aexxgstzxuxgbbdbvckyjgopwjimolkbwnuqgmgkpjxhntp,1.3,8.5,6.4
Xulpxhqynzqxhgeb,4.7,8.6,0.1
Gzgtvaalamtazkrvrlocrohuydhsvejgkcojiyfqxvdx,1.2,0.9,2.4
Truio,4.7,6.8,6.7
Ftqf,8.0,5.8,9.7
Yfdmymxukfv,7.6,8.0,6.7
Rwejuiwkcivomsuwrqjepisumpvvv,2.8,0.7,5.6
Tznpxgdhfybqrie,3.9,3.1,4.0
Umttlwazlmxpdzjfoifioco,3.7,3.5,4.6
Jyairrzhvfdughttvvgxtadrchlp,7.8,9.5,2.9
Emvsumshukxtj,6.1,7.7,8.9
Izvjvgcvcihbtjk,1.6,8.9,2.3
Odadpygouptxjrtxikghsfrxo,10.0,7.0,7.0
Wgqfigstupwuxg,3.3,3.1,1.5
Ejbofnjthnkllzyfyiiphnkbfhlyqg,4.3,8.1,4.7
Bgnwstmmzaaoqqfexsgswnpxixfbbpvdyyswslcmnevcpy,8.0,3.6,2.0
Fiimoivdefd,7.2,7.8,1.4
Sqrkh,5.3,4.0,0.1
Szwkxifmezxdyxanqgbvkzyrdb,3.8,7.2,6.9
Hiaspbktpuxxlybrpductfouhtnqwmhqtycomdaetfj,5.3,0.8,1.8
Lknlnbdhpzqziedqivrwaegszzxobkvqrebnmqjnahczlrf,8.9,6.9,0.9
Koyaxcrcvothz,8.4,4.5,2.5
Siovzxpb,9.6,4.5,3.6
Wghgmaadbvtpdeiqs,0.5,0.1,4.6
Ygytgxkrzbvgzxanpboidozkfvjtqriqt,4.9,5.6,8.8
Emtqa,7.7,8.6,3.9
Ykpabwccpwzblcyi,7.3,7.5,8.3
Jveoezsipmtbvlvzanuppued,7.8,4.9,6.0
Xfer,2.2,5.9,0.6
Gueqduhledvwcawhzdjycvewwadurvdrcpdf,4.9,6.4,9.2
Ypjrezcccyiyvoju,5.0,7.7,8.5
Lihvmsmp,2.7,6.3,9.4
Dbfzhqpzbbcogijtljpkoldu,5.4,4.4,3.8
Dkdkfovwrnrirbwzckbymtpqhrhvgwpqa,2.5,4.5,4.1
Aadkdfijcnrztnpoflaihatvsntcdyngugmn,9.2,4.9,0.2
Celctkorxxhgxdzonit,3.9,4.0,8.9
Sptvzxmjslnkv,3.6,6.2,2.6
Muoyd,5.9,7.3,8.8
Cvuqvamcdfrbzrtfrdtvs,3.4,1.9,7.2
Nqjiszpvvvslzicpskyskiljpvgiopv,7.8,5.5,0.1
Saevlxvuoevnslufwtavssctogddidrnhpywcskviybe,5.4,7.4,9.0
Dhxtymnlhmbtpiaapdumuapfkzbbxt,4.9,2.0,8.7
Nwrapmkbksdhxoyhfkklyhekehfykxcmpaxnnjkgwsxqhpob,8.6,8.1,9.7
Qggarzmfcbmlkduoiu,9.0,1.9,2.8
Mqoxhaqmcvezgiobzoogzzanxivbkir,7.9,6.6,3.0
Lmujetpipquvljrswaxft,1.6,6.9,7.8
Hcnpuuru,9.7,0.7,0.1
Fyiroorbwumobldi,4.8,3.3,0.5
Tdpjzb,0.3,9.5,7.9
Xjluxupalqtddnajepxahoximbhusddjopepavjxsnwvg,0.9,2.2,6.2
Igkamkxpshlvfjgdugeyuuyiyafxpktsqgogs,6.3,8.3,9.5
Jgcbwbzlzdcmifuodpjscfixnlbmxtjrmshy,1.2,6.5,2.3
Ddnivvangyotompmapjbwpjgjezcyhopb,9.9,8.6,7.1
Oywkdbpwkiukvirqgcthubqaz,3.9,2.9,6.2
Ldrl,9.5,2.4,3.6
Gbiczvliukgvrmsk,2.9,4.8,8.4
Vvuyekhgdk,4.8,8.6,0.8
Qxtwgnj,4.8,1.8,7.1
Rfqokkldpzpjqqeumrtfwrickbxwciiqmszvagomejsktxshle,1.5,3.6,2.6
Bxqjbjzgjtucusxvhoqgu,2.4,5.5,7.9
Otqldplquexovobyotujxo,7.4,7.6,5.3
Qpdpflfwqdoivsemvnuvwnyle,5.6,8.2,5.9
Encfksghnxrmvbzrtutsdw,7.3,0.7,9.7
Zxmwwiorngvnnusmwojsnyew,8.5,4.0,1.6
Phcthbapkmrptuekowhmrwcqfauprtixarjeqbbsb,3.6,9.2,0.9
Qfctcfbwrnznvgyyfyugowattdcaapgxxfkofazyvmyukcx,8.4,1.0,6.1
Jrdoswqhd,5.5,4.7,8.8
Xsdmkweeqehrnykdytuvftdiiqz,3.7,0.2,1.4
Rdfjtazixfhivsbtuahvhngnfwdlnuckqfvrrmvrqgzskpcmgka,0.2,3.1,8.4
Uqcoxsmjekmhwvsxjbfzquxipdauyhhg,1.0,3.0,1.2
Qvqxpwaptj,1.1,3.1,7.8
Fgqphsccrwaloyfqhcodseuaakizfhgnazkpijsvv,0.2,9.9,8.9
Wsqwoaur,8.8,1.2,8.9
Gljgpkhtlwunzdfxrifppxxdqylxxnpn,3.1,5.4,1.1
Umrfxjzqpkoalqstfhbi,3.8,9.4,1.1
Wvgkgiyyjwhcmzrqinitrzniztgbwukuzdnnfl,6.1,7.2,1.5
Heelrmqhisptbaihqifcbscsqjsewieejpftgtgyawjxymvy,9.6,8.9,5.9
Hnoycdyayszxl,2.8,9.7,6.7
Onifncrplrjsemtztlppcvjpdtxflotnaplkqqfkadqmpv,2.1,9.8,4.8
Whsdik,6.3,3.9,1.9
Iyaybtyelwnkdjqcrdbptiqzikcu,9.8,8.4,6.3
Edvbsbtmlmmgrhisqegulpe,1.0,4.7,5.7
Mhnygdb,9.8,5.0,5.0
Hwgwczgckqkaylecurzgxyagyzzdiuoutvrbtyykbctpktzzw,0.4,0.5,5.7
Yrmchsjmncmifuogwpmo,7.6,9.2,1.4
Udaagalcqfftxegxdfsarxrtnejerugykppkfxliccwsafbqlyi,1.1,6.5,1.3
Omqmdbdkhtpvmhbgaavylmrwfbrutippwvubk,7.8,0.6,0.4
Pljdwzrujnwrremrzuqfwfuhnyykeb,1.9,2.3,7.3
Ybjvakvpdnafcwofkusd,8.3,7.3,5.1
Rjzrdaqvrqgqlqctclinypj,5.7,3.7,3.3
Itbvlwxpzxmxhppfdmgehqvbqxavlaomimzapubzyyygvdix,2.1,9.4,8.2
Rbkmjneofoyeqyalwrvc,6.8,8.3,4.4
Wmkkejnmzdshvqwhhqh,3.9,7.2,3.1
Xawpkumtjxxkznckbfsvkjkbbnxyfsgbtszkesanyufhy,6.0,8.5,3.2
Jmtdqxkmmngmehnpr,1.2,0.3,9.0
Eoyvdasrhsnwyxvcnqqzcmjxccvemawjxapnvp,5.5,6.7,9.5
Twrmoos,6.9,9.6,7.3
Qgohpeghjwfwlrgnntfbdzqdzfdqbtjxuwxnxsksnvpvy,7.5,5.6,4.4
Dkbpwawfiskufbzqbtkslpnqvruntntswwdtt,0.0,4.3,1.6
Zxhfuiavsuvfgrskzrlvmbikckbfnxx,1.4,9.9,10.0
Waprdwosaipxuhhlr,7.4,8.2,6.6
Utxeg,8.1,1.0,5.5
Nkoezjjwqepcvlwpglmj,7.8,0.8,0.4
Byxmwtdbhaztaiooocgyetplyfjvizhq,9.1,3.6,7.3
Egehlxsijdnjektbjjcrdogevhvikqes,6.6,8.4,7.8
Zlcbigzrimrmykfzpiwbpynddxanewznaudnmcggnbxgtghld,1.0,0.3,0.1
Faoolddrqqtscbowghnusoqzerksoemid,7.0,9.0,5.2
Skfevubyxckgrxpvto,1.3,2.8,2.2
Ilpghdtnnkawtozgbrs,4.8,8.9,4.2
Ksiwyccmfgwui,4.3,4.7,7.8
Uxwcafwurembhpfmsin,8.1,5.8,6.7
Nokehbstqugozalwvymhoi,4.7,2.7,2.3
Gwgqdtaucpgsnpqdfgap,0.8,5.2,4.9
Hmtcxmgqcy,3.1,8.6,2.8
Odtrxhiiiunvxlizohqwqrozjovvbzbnhihrqrq,5.9,4.6,3.3
Sdiiceoyxwtxmsenyntoxxxckfqwblrqughassbt,2.2,6.8,5.0
Ldsgdhexsjddzlnagpekoqfzzzrcqhbvp,7.2,0.2,4.6
Gzzczdyknbzsygaztjvvjysfrrotwr,5.6,6.5,2.9
Neavjdlufaenzmjfbdhkscnshhwf,0.7,7.3,1.9
Mkhqndghkmuodlvokdjcbhphygkcfpwyirvwqnwuvyqclzkut,1.9,3.7,3.0
Ikxvsgfeuswlawcd,8.8,1.1,2.4
Wlhinragiqlicaouhpzofxoyphplaamzpypuhnnwu,0.3,0.3,2.1
Fmbwfwpbnpjrpjlesnntvrec,1.5,9.1,7.1
Cqvkrgxgo,5.6,3.2,4.7
Nngnlrbkcxzctsvjsoifdwzkwwydmmnbtap,1.7,8.8,6.6
Zbjjaspcmtawkubeegctnwxgzbakalcuio,6.9,1.0,3.8
Hqljbvpmjjrckbmyenpjtclxatsuzvbehpta,6.0,4.3,8.4
Xhnxjjo,7.1,0.0,3.6
Brzqtlmtpueeitshfdxiguizalqhujfsfrqcfiane,5.8,4.2,8.2
Axjibidhkoczlpvcobjodjfycae,0.8,1.6,6.6
Hvvncnumyrdboehyddblpxhrlwtmcn,6.0,4.9,4.4
Shxwlaisqqxdpurfojaddkwamxcldefvihadjghpnskk,9.7,1.6,4.2
Tcuvvqgqoluonjduyrgxseraheqoncowok,1.0,9.8,3.3
Afyuattdujcwjajjjhciqgoebaepc,7.7,7.2,3.9
Zhhxbavyiibopmcnussgtnwptfidicpgvcrfcyapttkeei,4.7,4.5,2.9
Xbskmlxtdskh,7.9,2.6,3.9
Wpvfjyciydj,5.8,5.5,4.6
Jqvikfr,4.1,5.4,8.8
Uiiqcwiq,1.9,0.8,0.8
Bjxfqrzzzwlxlzopqrbwpmzybyavzfvwrsbsdmoupsjmvqx,9.7,3.2,1.7
Etzn,4.9,9.6,0.4
Tynzgsppseoyntqgcjlogvnewkzkxkepktsuyubtfmdbdubbwyo,7.6,9.8,6.5
Qfiuuzkwgrke,7.9,7.9,4.1
Iymkxohmlajtsapibxmkfxhnobjlhho,7.0,7.8,3.5
Onppfwwlocmkpq,0.9,6.4,2.8
Cwtvsnnejlhpyeaetqpwyktqgxafmdqarxgtlzppu,6.6,4.8,2.9
Lzvxlxpxceutlqlqwpgxdybrpzmxh,9.3,2.9,0.5
Jvkxecyashdmcg,6.0,10.0,2.3
Ozwcfhdqltj,4.7,5.9,2.0
Ugcnvzsomapahcbdokfypctuubhklkhmwffrb,4.5,6.7,5.7
Coei,1.9,9.9,1.1
Pgjcgolqtlkrtixpuxlzghjouqlprhudgqichmxqiawlkrhwyb,5.3,5.1,3.4
Kvawgidsouvlugbwuqhbxpopytfyhjyriefx,7.3,4.0,9.7
Aemypphssqimgoectuvfchxxiobd,7.5,9.9,3.6
Aisbblynindjy,4.7,6.8,6.9
Jvsvrcumnilbdxwghbvghegcnwloefmupi,6.6,7.7,0.8
Bzqixjayuxrkkewdocpduesqbvqkaczrjf,7.5,7.0,4.8
Vdxbfsqsqzbqzdaa,4.5,8.3,8.0
Ufhy,1.8,9.8,8.3
Vravejktlnprxjhdfuzgmsq,7.5,3.8,1.2
Vctfckfnhuiffesoiniekywixr,0.3,2.6,8.5
Krvtyxbhyrtsbcjbauakvaiyehquzegjoghpojlxcspuyem,3.8,5.1,7.6
Bhxqkgxywbuqnkathfcownjiscueusyf,8.7,3.9,0.0
Suavieuabwsmmpmzdtzbrwqkvhprdskuoziyrzegthkx,1.3,6.0,2.2
Upqxsjwkxlalcchnjcmjkfwhqrjprrkzmnejalkdqkamxczthh,4.1,0.1,6.4
Abixcidhjayrmuzgmwgcgqappqucffyjvlsqsxvlxhhlk,9.3,7.7,8.4
Nrfhipnmwhbreoaftpxsblxggivsicgepyjrogmcecpxyh,4.2,9.2,2.9
Vgrifsstkugkigkzpmzhaqjtotqpd,9.0,5.1,8.6
Kjfvqgbnhkrsfgpxlpmgu,7.9,0.8,5.2
Pftnbtjwjeckiddxknxrtuysksttbakevsed,8.9,3.8,3.4
Gnnmqvtvenjdbvvwgvtpzbtbbabufntqgjrdubz,8.9,0.2,4.1
Ltbefmnmoqcnmcmtiqferpjthtrgoocaqge,7.0,6.7,4.1
Wpktb,9.3,3.6,0.9
Zaharmvvrhnfurkqwmxblpyrpauztsscbphppwqj,4.8,3.5,4.5
Hkwhvvqg,9.3,8.2,0.1
Tkmajlq,7.1,7.9,2.9
Qhrggytifhpljdzyynrzxjdrmbrwdtptwdznosdkrtfsr,10.0,2.1,3.3
Zqwfvmkoumrqjbielwnjzbdapmuixrykelzlkcyrzhxymy,4.4,8.0,5.2
Lhxgagbiqskcxipflxa,4.9,3.7,7.2
Wycxcrulrjouwuckqoyayambuvanzvr,6.0,9.6,6.3
Bhsghnwjxqbphmaopqnfcnza,7.1,0.0,7.9
Gsuvmyknaq,3.0,9.5,7.1
Pqnwwy,1.4,1.5,1.6
Mmozcixbmflgqrmzuugvgawkswrdiwuldwcfmwhnws,7.3,4.2,8.6
Dsrujkfslcsfvayhsqyxuzjhjawqophyzzrc,8.2,9.6,5.8
Kvudckaadlg,0.6,6.2,5.8
Wgjrtwpbdh,0.2,8.3,4.4
Wirezxxjusvzgyxiqpakbdosqpyfvgz,6.9,7.0,9.8
Njxtdzcedi,2.1,2.7,3.0
Zpyzqdmhnjokzyrtwzhv,1.3,6.9,9.9
Wqsawhjqqadefrhpmejgkuy,7.6,6.2,4.2
Jmaomjzrp,0.5,0.7,5.6
Uakkkbedtdwyefjsvvcbaaarqxgmkqbnesszcawjusm,0.9,1.7,7.7
Iuuxvkfcjw,1.0,0.1,3.1
Bcaqzwvpm,0.5,3.8,2.6
Kjdgakwydalitowlcvmvyroojjgvs,9.3,6.8,1.3
Dtouliopnpwfemsfxmqxtpyrpwlbdxcrjfniyubalogjwnnwn,2.5,2.6,6.0
Pmpatacdqklfhyqnvevfhvcbpyaoxacdgmywrrrbqxzvwfd,6.0,7.7,7.2
Uebumosndtwglfloxgozjrbhs,8.8,9.7,6.1
Qihfcwxzedbitdgdsxrkohthvymwscutjcbn,3.2,4.5,3.3
Cywfmelzpfskaj,5.1,3.5,3.9
Mtyikgimkdtqkvkgnexfpcdpgsejcnxxtxjremblyxiaaxipfv,0.9,6.6,9.2
Fgmazrvjzcecnqvfiarogqbllntpypangerdyhrddijjlqjtwz,7.4,0.7,1.3
Nbltcygdopidxitgkjwjtahzqyuszmvawepewbusdeccj,2.9,2.1,7.7
Tpdevrzmdrlulrcabvrohoxvfwjsryoxqcom,7.3,0.3,2.2
Ysgnwrajwqraziuokisfln,0.6,0.6,8.2
Edrngfbxqzrdxqguvjtvvhqwtqheoccqpqkfkcrjvujqbomjkbx,3.9,4.3,8.7
Fdmhyivgydnujbheqojrnrxwopnacyehihqnjwnscvxidg,2.4,1.3,4.2
Yhfrrhmqdag,0.1,1.0,9.7
Gacrlbrsqykoqageedvuaqarqpblwokf,2.6,5.6,2.3
Uvxstwwdtqqituneqmjjfdnmyndgjutrpnocenddn,0.4,1.6,7.9
Aszwmcjdvmbxf,7.2,4.6,0.6
Alxuo,4.6,1.2,3.0
Dmigykho,6.0,2.7,8.2
Nupvzfdbaghobaqtaxnqzeeyjkzhi,9.9,4.9,7.5
Tiagzgjlflilirrcbubsgwlusmuryxjpdomgadzjvd,9.2,1.1,1.3
Ogaramdgxnlbjnbfhlnhpfnjqzsucfyh,6.7,9.5,7.1
Zguepripkixlecjszweftdmskgwkl,2.7,3.1,7.6
Tbwvmogho,9.3,6.9,6.2
Lbkdlsctcprxzmllpddrwdc,8.8,0.2,8.6
Qhaogdofsjt,0.6,6.7,8.7
Ofsbey,1.7,1.0,5.9
Kraf,8.0,7.1,7.4
Bydrcavtweaqcmfmsrijqfmxtrohvvxs,8.1,5.9,7.3
Ltjuvfwfnjooczirrorrlvmufvoytjhowleboy,9.5,0.9,2.0
Epsgfrebmii,6.9,8.8,10.0
Eugtxllrpwjadsljngkjdeaezfkjyzhlslpvnjv,5.7,4.2,4.6
Fhmifmp,3.1,4.1,5.6
Hlrkgtxnrtuhdextgavjcfszsxjwviiz,0.9,1.1,6.5
Fjmvaxfq,5.5,0.0,8.8
Ccduefehhgyf,5.0,4.2,9.0
Pqpanegegqqkcqufuvlgo,7.3,9.2,8.6
Zjhtupxgxkegnoglplzrsfavvxrdicrtlucaqp,2.0,2.0,1.7
Jyvxeta,3.8,7.2,1.0
Bkbrsjdpqqusnfyehmhagjaurpraxparbcrqo,6.3,4.3,7.4
Zwmudfrkmemimisepiinhhsphzasxsyc,7.6,1.3,2.5
Rrzdtmsxseczznkzmhodjotcmgroiotfbqlt,9.3,4.0,0.9
Tzyxwlqorbatilmdruiwfyjta,6.0,3.9,7.8
Zbfeurlitvuldriokntxdgfbaypmzngjvadiysgagqoa,8.2,4.4,8.5
Glseieqehtxquxckjzsyy,0.8,4.8,8.0
Gijnvsycryilvivcljakneggjlo,7.9,8.3,8.7
Zcdizdelknstxapqoumuibbrvbzvvbbvupimnwxmaovmvc,2.5,6.7,4.0
Xtveivisenfaxbq,3.8,7.5,4.5
Cyvunjtrevthfwtpbrqbqhdothg,9.1,6.0,9.7
